key,text,url,description
page_title,Plutchik Emotions Wheel,,Browser tab title
learn_more_heading,Learn more:,,Heading above the resource links
eq_what_text,What is Emotional Intelligence?,https://www.youtube.com/watch?v=7iB__2vYMxM,First video link text and URL
eq_iq_text,EQ & IQ,https://www.youtube.com/watch?v=5-6mHyFJhno,Second video link text and URL
seven_things_text,7 Things About Emotions,https://6seconds.org/2020/06/03/7-things-emotions-know/,Article link text and URL
cta_intro,Want to start training your EQ?,,Call-to-action intro text
cta_link_text,Start with the Practicing EQ Book,https://6seconds.org/practicing-eq-book/,Call-to-action link text and URL
