key,text,url,description
page_title,Rueda de emociones de Plutchik,,Browser tab title
learn_more_heading,Más información:,,Heading above the resource links
eq_what_text,¿Qué es la inteligencia emocional?,https://www.youtube.com/watch?v=7iB__2vYMxM,First video link text and URL
eq_iq_text,EQ e IQ,https://www.youtube.com/watch?v=5-6mHyFJhno,Second video link text and URL
seven_things_text,¿Qué son las emociones?,https://esp.6seconds.org/2020/07/04/que-son-las-emociones/,Article link text and URL
cta_intro,¿Quieres empezar a entrenar tu EQ?,,Call-to-action intro text
cta_link_text,Empieza con el libro Practicing EQ,https://esp.6seconds.org/libro-electronico-practicando-la-inteligencia-emocional-eq/,Call-to-action link text and URL
