key,text,url,description
page_title,Rueda de Emociones de Plutchik,,Browser tab title
learn_more_heading,Aprende más:,,Heading above the resource links
eq_what_text,¿Qué es la Inteligencia Emocional?,https://www.youtube.com/watch?v=7iB__2vYMxM,First video link text and URL
eq_iq_text,CE & CI,https://www.youtube.com/watch?v=5-6mHyFJhno,Second video link text and URL
seven_things_text,7 Cosas Sobre las Emociones,https://6seconds.org/2020/06/03/7-things-emotions-know/,Article link text and URL
cta_intro,¿Quieres empezar a entrenar tu CE?,,Call-to-action intro text
cta_link_text,Comienza con el Libro Practicing EQ,https://esp.6seconds.org/libro-electronico-practicando-la-inteligencia-emocional-eq/,Call-to-action link text and URL
