key,text,url,description
page_title,Modello di Plutchik - Emozioni,,Browser tab title
learn_more_heading,Scopri di più:,,Heading above the resource links
eq_what_text,Cos'è l'Intelligenza Emotiva?,https://www.youtube.com/watch?v=7iB__2vYMxM,First video link text and URL
eq_iq_text,EQ & IQ,https://www.youtube.com/watch?v=5-6mHyFJhno,Second video link text and URL
seven_things_text,7 aspetti sulle emozioni,https://italia.6seconds.org/2020/06/03/7-cose-sulle-emozioni-che-dovresti-conoscere/,Article link text and URL
cta_intro,Vuoi iniziare ad allenare la tua EQ?,,Call-to-action intro text
cta_link_text,Inizia con il Practicing EQ Book,https://italia.6seconds.org/ebook-praticare-lintelligenza-emotiva-eq/,Call-to-action link text and URL
